transaction_id,day,clock,session,display_name,txn_type,amount_gp,recurring,fund,source_dest,confidence,notes,source_url,state_origin,slice
txn:d393:automated-looms-5-units,393,SHIVAN_DAY_393,12,Automated Looms (5 units),Capital Investment,-100000,NO,Unknown,ESAMT/NCF -> Institut,EXACT,5 units at 20K each. Metal-textile simultaneous weaving. Ledger flags SOURCE UNCERTAIN — see Session 31 GM ruling.,https://app.notion.com/341e821484b081b49044e0a80543ed7d,SOURCE,INSTITUT
txn:d393:institut-capital-loan-interest-monthly,393,SHIVAN_DAY_393,31,Institut Capital Loan Interest (Monthly),Recurring Cost,-660,YES,Institut,Institut -> NCF (commercial loan),EXACT,GM RULING: 132K (48K workshop + 80K looms + 4K misc) funded as a separate NCF commercial mortgage against Institut cash flow NOT ESAMT. 6 percent commercial rate. Booked to loans.csv as loan:ncf:institut-capital.,https://app.notion.com/342e821484b0815491ddd3eff29ab51b,SOURCE,INSTITUT
txn:d400:esamt-quarterly-investment-income-monthly-avg,400,SHIVAN_DAY_400,7,ESAMT Quarterly Investment Income (Monthly Avg),ESAMT Income,4200,YES,ESAMT,NCF investments -> ESAMT,ESTIMATED,15-20K/quarter = ~4200/mo avg. 8 vehicles: NCF bonds; harbour warehouse 1200/mo; chandlery; 5 guild instruments ~400/mo. ESTIMATED not Exact.,https://app.notion.com/341e821484b0818491fcf99d9e5c3d54,ESTIMATED,NCF
txn:d400:greenhouse-net-revenue-monthly,400,SHIVAN_DAY_400,31,Greenhouse Net Revenue (Monthly),Other Income,345,YES,Operating,Cannabis sales -> Operating,EXACT,5 strains; 400gp gross minus 55gp materials. Staff wages already inside estate operating. Gap closed Session 31 reconciliation.,https://app.notion.com/342e821484b08166ac8ad1651b377385,SOURCE,INSTITUT
txn:d500:training-fees-salle-d-armes-monthly,500,SHIVAN_DAY_500,12,Training Fees — Salle d'Armes (Monthly),Recurring Cost,-160,YES,Operating,Operating -> Salle d'Armes,EXACT,Marta Judo 2x/wk; Willa Pistol 1x/wk 3 students; Drago War Hammer 2x/wk.,https://app.notion.com/341e821484b0812fa106ca5b34389e95,SOURCE,INSTITUT
txn:d500:institut-monthly-operating-costs,500,SHIVAN_DAY_500,12,Institut Monthly Operating Costs,Recurring Cost,-12000,YES,Institut,Institut -> Operating,EXACT,8K salaries; 2.5K materials; 1K facilities; 500 R&D. CONFLICT: registry Tissage card Monthly Cost is 17500.,https://app.notion.com/341e821484b081bfa740ef8013c7ec75,SOURCE,INSTITUT
txn:d500:institut-monthly-gross-revenue,500,SHIVAN_DAY_500,12,Institut Monthly Gross Revenue,Institut Income,45000,YES,Institut,Various clients -> Institut,EXACT,Begins ~Day 400+. 20K protection; 15K high fashion; 8K technical; 2K consulting/licensing. CONFLICT: registry Tissage card Monthly Revenue is 28000.,https://app.notion.com/341e821484b081ceb6d8efa329c89de5,SOURCE,INSTITUT
txn:d500:promethean-device-husteem-channel-monthly,500,SHIVAN_DAY_500,31,Promethean Device — Husteem Channel (Monthly),Contract Income,1140,YES,Baen Innovations,Husteem Distribution -> Baen Innovations,EXACT,Partnership gross 1900/mo. Shi'van 60 percent. Husteem 40 percent = 760. Already in contracts.csv and programmes.csv.,https://app.notion.com/342e821484b081cb94dbe995e804aeb6,SOURCE,INSTITUT
txn:d500:promethean-device-rosznar-channel-monthly,500,SHIVAN_DAY_500,31,Promethean Device — Rosznar Channel (Monthly),Contract Income,2760,YES,Baen Innovations,Rosznar Manufacturing -> Baen Innovations,EXACT,Partnership gross 4600/mo. Shi'van 60 percent. Rosznar 40 percent = 1840. Already in contracts.csv and programmes.csv.,https://app.notion.com/342e821484b081de9f4ddacd1cf22592,SOURCE,INSTITUT
txn:d510:watch-contract-completed,510,SHIVAN_DAY_510,8,Watch Contract (Completed),Contract Income,400,NO,Operating,City Watch -> B&D,EXACT,City Watch commission. Completed. Already in contracts.csv.,https://app.notion.com/341e821484b081f0bf09ce026c4a1e2b,SOURCE,INSTITUT
txn:d510:baen-und-innovations-capitalisation,510,SHIVAN_DAY_510,20,Baen'und Innovations Capitalisation,Capital Investment,-10000,NO,Baen Innovations,Operating -> NCF Baen Innovations account,EXACT,NCF capitalised entity. 50K credit line available — booked to loans.csv as an undrawn facility.,https://app.notion.com/341e821484b0817fbc8cea00bd380680,SOURCE,INSTITUT
txn:d510:intelligence-operational-costs-monthly,510,SHIVAN_DAY_510,31,Intelligence Operational Costs (Monthly),Recurring Cost,-110,YES,Operating,Operating -> Intelligence ops,EXACT,Safehouses (Nethpranter St + secondary); runner fees; dead drop supplies. Beyond Firth's Observer Network budget.,https://app.notion.com/342e821484b081129e93f7c6b1b20337,SOURCE,INSTITUT
txn:d510:northwatch-advisory-income-monthly,510,SHIVAN_DAY_510,31,Northwatch Advisory Income (Monthly),Other Income,150,YES,Operating,Advisory clients -> Northwatch,EXACT,Intelligence front/consultancy. Primary value is cover.,https://app.notion.com/342e821484b081fca408ffb38017e0f6,SOURCE,INSTITUT
txn:d565:blackwatch-lane-showroom-purchase,565,SHIVAN_DAY_565,19,Blackwatch Lane Showroom Purchase,Asset Acquisition,-20000,NO,ESAMT,ESAMT -> Sea Ward property,EXACT,Sea Ward. B&D retail showroom.,https://app.notion.com/341e821484b0811a8371e284a0cfae8f,SOURCE,NCF
txn:d565:security-upgrade-capital,565,SHIVAN_DAY_565,19,Security Upgrade (Capital),ESAMT Draw,-10000,NO,ESAMT,ESAMT -> Observer Network,EXACT,Brannock; Tesserly; expanded Firth operation.,https://app.notion.com/341e821484b08125a68be00071492687,SOURCE,NCF
txn:d565:eye-of-dagaz-launch-funding,565,SHIVAN_DAY_565,19,Eye of Dagaz Launch Funding,ESAMT Draw,-30000,NO,ESAMT,ESAMT -> Eye R&D,EXACT,Enchantment materials; Violet frame work; licensing prep.,https://app.notion.com/341e821484b0813ca08edfc36e686f9c,SOURCE,NCF
txn:d565:ravencrest-phase-1-survey,565,SHIVAN_DAY_565,19,Ravencrest Phase 1 Survey,ESAMT Draw,-5000,NO,ESAMT,ESAMT -> Ravencrest,EXACT,Phase 1 geological/infrastructure survey.,https://app.notion.com/341e821484b0815695e9e26aa6ca5ac3,SOURCE,NCF
txn:d565:pension-bridge-endowment,565,SHIVAN_DAY_565,19,Pension Bridge Endowment,ESAMT Draw,-25000,NO,Pension Endowment,ESAMT -> NCF Pension Vehicle,EXACT,NCF vehicle. Committed. Guild pension product backing.,https://app.notion.com/341e821484b081f88d2ad76800edf1e2,SOURCE,NCF
txn:d565:rosznar-rebuild,565,SHIVAN_DAY_565,19,Rosznar Rebuild,ESAMT Draw,-20000,NO,ESAMT,ESAMT -> Rosznar rebuild,EXACT,Rosznar facility reconstruction. Gregor Thane.,https://app.notion.com/341e821484b081279a77dd69b7163ca9,SOURCE,NCF
txn:d565:thorfinn-archival-search,565,SHIVAN_DAY_565,19,Thorfinn Archival Search,ESAMT Draw,-500,NO,ESAMT,ESAMT -> Thorfinn archives,EXACT,Mirabar archival research.,https://app.notion.com/341e821484b081439c6ae4d5397e99ed,SOURCE,NCF
txn:d565:b-d-bespoke-commissions-monthly-avg,565,SHIVAN_DAY_565,31,B&D Bespoke Commissions (Monthly Avg),Commission Income,3300,YES,Operating,Noble clients -> B&D,ESTIMATED,Blackwatch Lane showroom Sea Ward. High-end bespoke. Episodic but averaged. ESTIMATED not Exact.,https://app.notion.com/342e821484b081fd8019c97fdd0fe102,ESTIMATED,INSTITUT
txn:d570:dorothea-varnilly-debt-clearance,570,SHIVAN_DAY_570,19,Dorothea Varnilly Debt Clearance,One-Time Expense,-460,NO,Operating,ESAMT -> Varnilly debt,EXACT,"Cleared gambling debt at the Winking Eye. Varnilly is the NCF Waterdeep Branch Manager — NPC leverage, flag for the Veil layer.",https://app.notion.com/341e821484b08137bb23f24c7da353ae,SOURCE,INSTITUT
txn:d570:observer-network-professional-tier-monthly,570,SHIVAN_DAY_570,27,Observer Network — Professional Tier (Monthly),Recurring Cost,-1800,YES,Operating,Operating -> Firth,ESTIMATED,Expanded from 550 to 1800-2200. Professional tier. 11 operatives. ESTIMATED not Exact.,https://app.notion.com/341e821484b0815fae11f73d36c682a6,ESTIMATED,INSTITUT
txn:d570:northern-shield-assurance-monthly,570,SHIVAN_DAY_570,31,Northern Shield Assurance (Monthly),Other Income,800,YES,Operating,Guild members -> NSA,EXACT,Management fees on Pension Bridge Endowment plus guild premiums.,https://app.notion.com/342e821484b08128a929c179605396d3,SOURCE,INSTITUT
txn:d600:nrtc-monthly-distribution-shi-van-25-percent,600,SHIVAN_DAY_600,31,NRTC Monthly Distribution (Shi'van 25 percent),Other Income,45,YES,NRTC,NRTC -> Millbridge Trust,EXACT,25 percent of ~180gp monthly net after 25 percent reinvestment. 225gp accumulated at Millbridge Merchant Trust.,https://app.notion.com/341e821484b08161a72cf047983f01da,SOURCE,NCF
txn:d607:threadbaum-ammunition-monthly,607,SHIVAN_DAY_607,22,Threadbaum Ammunition (Monthly),Recurring Cost,-48,YES,Operating,Operating -> Salle d'Armes,EXACT,Standing ammo order for Threadbaum practice.,https://app.notion.com/341e821484b08101994ed0c7c5010a9d,SOURCE,INSTITUT
txn:d607:seren-training-stipend-monthly,607,SHIVAN_DAY_607,22,Seren Training Stipend (Monthly),Recurring Cost,-20,YES,Operating,Operating -> Seren,EXACT,Seren pistol training stipend.,https://app.notion.com/341e821484b0816d95b4f677964aba53,SOURCE,INSTITUT
txn:d607:threadbaum-pistol-holster-ammo,607,SHIVAN_DAY_607,22,Threadbaum Pistol + Holster + Ammo,Operating Expense,-174,NO,Operating,Operating -> Salle d'Armes,EXACT,Threadbaum 150 + holster 12 + ammo startup 12.,https://app.notion.com/341e821484b0817b9d4ad9caa738ab8d,SOURCE,INSTITUT
txn:d607:gem-purchase-farid,607,SHIVAN_DAY_607,22,Gem Purchase (Farid),Operating Expense,-60,NO,Operating,Operating -> Starfall Gems,EXACT,Farid al-Rashid; Starfall Gems; Trades Ward.,https://app.notion.com/341e821484b081fe8a6adb7c011c78e1,SOURCE,INSTITUT
txn:d630:peri-security-contract-monthly,630,SHIVAN_DAY_630,31,Peri Security Contract (Monthly),Recurring Cost,-500,YES,Operating,Operating -> Peri's organisation,EXACT,2 guards rotating 8-hour shifts on the Institut door plus Grey Servant response. Already in contracts.csv.,https://app.notion.com/342e821484b08136b9e5c0125a7dacd6,SOURCE,INSTITUT
txn:d635:ravencrest-additional-draw,635,SHIVAN_DAY_635,28,Ravencrest (Additional Draw),ESAMT Draw,-50000,NO,ESAMT,ESAMT -> Ravencrest,EXACT,Additional Ravencrest legal/development. Referenced in the Session 28 financial snapshot.,https://app.notion.com/341e821484b081d49a8bc3abbed1334b,SOURCE,NCF
txn:d644:cassalanter-note-purchase,644,SHIVAN_DAY_644,28,Cassalanter Note Purchase,ESAMT Draw,-27200,NO,ESAMT,ESAMT -> Cassalanter Financial (via intermediary),EXACT,Merileth structuring through an intermediary. Status: not yet disbursed as of Day 644. May have completed by Day 662. UNSETTLED.,https://app.notion.com/341e821484b0819f9816c349bc28f648,SOURCE,NCF
txn:d647:amnian-contract-first-delivery-net,647,SHIVAN_DAY_647,29,Amnian Contract — First Delivery (Net),Contract Income,17200,NO,Operating,Amnian diplomats -> Institut,EXACT,18K gross minus 600 customs and 200 Cowled Wizards fee. 14 pieces. Tessa's 2 returned. Already in contracts.csv.,https://app.notion.com/341e821484b08128b12afe448562a0cc,SOURCE,INSTITUT
txn:d660:nrtc-waystation-acquisition,660,SHIVAN_DAY_660,31,NRTC Waystation Acquisition,ESAMT Draw,-2000,NO,ESAMT,ESAMT -> NRTC Millbridge account,EXACT,Marcus authorized to secure 3 waystations. Rassalantar secured.,https://app.notion.com/341e821484b081609554e14c250df2bd,SOURCE,NCF
txn:d660:pemberton-chase-ip-valuation,660,SHIVAN_DAY_660,31,Pemberton-Chase IP Valuation,One-Time Expense,-400,NO,Operating,Operating -> Pemberton-Chase,EXACT,Merileth recommendation. Violet IP valuation. 15-day timeline.,https://app.notion.com/341e821484b081ddbba6e3cd0dcf03a2,SOURCE,INSTITUT
txn:d733:esamt-draw-three-capital-commitments,733,SHIVAN_DAY_733,41,ESAMT Draw — Three Capital Commitments,ESAMT Draw,-127016,NO,,ESAMT -> Baen Construction / Wren & Sable / Merileth-Helena,EXACT,Ravencrest Phase 1 80246 + Estate wards Wren & Sable 42520 + Restructuring prep 4250. Rate 4 percent ruby-secured. NEW OUTSTANDING 454116 gp — this is the ESAMT facility balance at Day 733.,https://app.notion.com/379e821484b0812eabdff678a08e8b70,SOURCE,INSTITUT
txn:d733:new-recurring-bonded-wages-ravencrest-staff-ip,733,SHIVAN_DAY_733,41,New Recurring — Bonded Wages + Ravencrest Staff + IP Revaluation,Recurring Cost,-1443,YES,,Monthly operating costs,EXACT,Bonded employee wages +800/mo; Ravencrest staff (21) 610/mo; IP revaluation 33/mo. Starts Day 733.,https://app.notion.com/379e821484b081899b35caa0858121d1,SOURCE,INSTITUT
txn:d814:institut-purchase-jormun-s-northern-materials,814,SHIVAN_DAY_814,42,Institut purchase — Jormun's northern materials,Capital Investment,-80000,NO,Institut,Jormun Frostborn northern journey materials via NCF brokerage,EXACT,Links the Institut to the Jormun / Wyrmhelm Nafnfestr programme.,https://app.notion.com/390e821484b081e7a816f04813517916,SOURCE,INSTITUT
