actor_id,display_name,actor_type,source_id,status,source_headcount,notes,provenance,state_origin,source_evidence,slice
actor:npc:rosalie-hatch,Rosalie Hatch,PERSON,341e8214-84b0-815b-be77-d1cdad7615e2,ACTIVE,,Tissage floor lead 67 employees,SOURCE-DERIVED,SOURCE,NPC Rosalie Hatch,INSTITUT
actor:facility:warborn-mega,Waterdeep Warborn Mega-Facility,FACILITY,348e8214-84b0-8192-95d8-f81988611e45,ACTIVE,200,Investment 1127000 authorized by Arik 20 Eleint 1494; wages 22900/mo; opex ~85000/mo; owner imperial household not Institut,SOURCE-DERIVED,SOURCE,Waterdeep Warborn Mega-Facility + user ruling 2026-09-19,HOUSEHOLD
actor:npc:rurik-hellbrace,Rurik Hellbrace,PERSON,34ce8214-84b0-81ad-a6ff-d2603211edde,ACTIVE,,Facility manager; household employee not Institut,SOURCE-DERIVED,SOURCE,L6 + Warborn location page,HOUSEHOLD
actor:facility:component-factory-neverwinter,Baen'und Component Factory Site Neverwinter,FACILITY,,ACTIVE,,215000 ESAMT cap; fit-out pending,SOURCE-DERIVED,SOURCE,LOCATIONS_BODY_INGEST_L6,INSTITUT
actor:business:nafnfestr,Nafnfestr breeding operations,BUSINESS,,ACTIVE,,Registry parent Institut; not exploded as separate legal default,SOURCE-DERIVED,SOURCE,business-registry-2026-08-29,INSTITUT
actor:trust:esamt,ESAMT (Shi'van estate trust),TRUST,,ACTIVE,,"Distinct from SSAMT (Scales & Secrets). Corpus originates in the 1,010,000 gp ruby lodged as an NCF trust, Transaction Ledger Day 234 Session 7. Ruby-secured drawing facility outstanding 454,116 gp at Day 733.",SOURCE-DERIVED,SOURCE,Transaction Ledger ae367fe3 Day 234 / Day 733,NCF
actor:business:baen-innovations,Baen'und Innovations,BUSINESS,,ACTIVE,,"NCF-capitalised entity, 10,000 gp in at Day 510 Session 20, 50,000 gp credit line available. Holds the two Promethean distribution channels.",SOURCE-DERIVED,SOURCE,Transaction Ledger ae367fe3 Day 510,NCF
actor:institution:gauntlgrym,Gauntlgrym,OTHER_INSTITUTION,,ACTIVE,,JV counterparty: 50 percent of Silversheen Trading per Canon Change Log 709; 50/50 Gauntlgrym Tools Partnership.,CANON-CHANGE-LOG-709,USER_RULED,https://app.notion.com/3abe821484b08109ac90c3bd13f64848,NCF
actor:business:cerulean-holdings,Cerulean Holdings LLC,business,,,,Documented NCF subsidiary holding The Cerulean. No Baen name on the title. Former Thann family property taken in NCF receivership after the demon crisis.,,,,
actor:guild:dockworkers,Dockworkers Guild,guild,,,,"Named NCF housing-loan borrower, Neverwinter branch.",,,,
actor:npc:selah-thorn,Selah Thorn,npc,,,,"Proprietor of Thorn & Silver Exchange, Luskan. Acquired through an NCF buyout loan; both client and employee, running the business she once owned.",,,,
actor:npc:philo-swiftfingers,Captain Philo Swiftfingers,npc,,,,"Named NCF voyage-financing borrower, Neverwinter branch.",,,,
